from,to,bayes-factor,posterior-probability
Bundibugyo,Gulu,0.716381654,0.065934066
Bundibugyo,Ituri,0.345979776,0.032967033
Bundibugyo,Yambuku,0,0
Bundibugyo,Kikwit,0.345979776,0.032967033
Bundibugyo,Yambio,0,0
Bundibugyo,Isiro,1.541580775,0.131868132
Bundibugyo,Nzara,0,0
Bundibugyo,North_Kivu_Province,1.113886109,0.098901099
Bundibugyo,Muyembe,0,0
Bundibugyo,Tumba,0,0
Bundibugyo,Likati,0,0
Bundibugyo,Mayinga,913.3866091,1
Bundibugyo,Butalya,0,0
Bundibugyo,Kelle,0,0
Bundibugyo,Lomela,0,0
Bundibugyo,Boende,0.112763779,0.010989011
Bundibugyo,Kibaale,0,0
Bundibugyo,Luebo,0,0
Bundibugyo,Bonduni,0,0
Bundibugyo,Luwero,0,0
Bundibugyo,Mweka,0.228061575,0.021978022
Bundibugyo,Kasai-Occidental,0,0
Gulu,Ituri,0,0
Gulu,Yambuku,0,0
Gulu,Kikwit,0,0
Gulu,Yambio,2.003040809,0.164835165
Gulu,Isiro,0,0
Gulu,Nzara,6.053634446,0.373626374
Gulu,North_Kivu_Province,0,0
Gulu,Muyembe,0,0
Gulu,Tumba,0,0
Gulu,Likati,0,0
Gulu,Mayinga,0,0
Gulu,Butalya,0,0
Gulu,Kelle,0,0
Gulu,Lomela,82.20479482,0.89010989
Gulu,Boende,0.112763779,0.010989011
Gulu,Kibaale,0,0
Gulu,Luebo,0,0
Gulu,Bonduni,0.978191817,0.087912088
Gulu,Luwero,0.978191817,0.087912088
Gulu,Mweka,0,0
Gulu,Kasai-Occidental,0.112763779,0.010989011
Ituri,Yambuku,913.3866091,1
Ituri,Kikwit,0,0
Ituri,Yambio,913.3866091,1
Ituri,Isiro,0.46660874,0.043956044
Ituri,Nzara,0.345979776,0.032967033
Ituri,North_Kivu_Province,1.395451764,0.120879121
Ituri,Muyembe,0,0
Ituri,Tumba,0,0
Ituri,Likati,0,0
Ituri,Mayinga,0,0
Ituri,Butalya,0,0
Ituri,Kelle,0,0
Ituri,Lomela,0,0
Ituri,Boende,0,0
Ituri,Kibaale,0,0
Ituri,Luebo,0.112763779,0.010989011
Ituri,Bonduni,0,0
Ituri,Luwero,0,0
Ituri,Mweka,0,0
Ituri,Kasai-Occidental,0.228061575,0.021978022
Yambuku,Kikwit,3.844219735,0.274725275
Yambuku,Yambio,0,0
Yambuku,Isiro,0.590043029,0.054945055
Yambuku,Nzara,0.228061575,0.021978022
Yambuku,North_Kivu_Province,0,0
Yambuku,Muyembe,0,0
Yambuku,Tumba,2.003040809,0.164835165
Yambuku,Likati,0.845728342,0.076923077
Yambuku,Mayinga,0,0
Yambuku,Butalya,0.46660874,0.043956044
Yambuku,Kelle,2.003040809,0.164835165
Yambuku,Lomela,0,0
Yambuku,Boende,0,0
Yambuku,Kibaale,0,0
Yambuku,Luebo,0.112763779,0.010989011
Yambuku,Bonduni,0,0
Yambuku,Luwero,0,0
Yambuku,Mweka,0.590043029,0.054945055
Yambuku,Kasai-Occidental,0.345979776,0.032967033
Kikwit,Yambio,0.978191817,0.087912088
Kikwit,Isiro,0,0
Kikwit,Nzara,0,0
Kikwit,North_Kivu_Province,0,0
Kikwit,Muyembe,2.502429066,0.197802198
Kikwit,Tumba,0,0
Kikwit,Likati,0,0
Kikwit,Mayinga,0.845728342,0.076923077
Kikwit,Butalya,0.112763779,0.010989011
Kikwit,Kelle,0,0
Kikwit,Lomela,0.845728342,0.076923077
Kikwit,Boende,0,0
Kikwit,Kibaale,0,0
Kikwit,Luebo,0,0
Kikwit,Bonduni,913.3866091,1
Kikwit,Luwero,0,0
Kikwit,Mweka,0,0
Kikwit,Kasai-Occidental,5.504401411,0.351648352
Yambio,Isiro,0,0
Yambio,Nzara,0.112763779,0.010989011
Yambio,North_Kivu_Province,0,0
Yambio,Muyembe,2.003040809,0.164835165
Yambio,Tumba,0,0
Yambio,Likati,0,0
Yambio,Mayinga,0,0
Yambio,Butalya,19.64272278,0.659340659
Yambio,Kelle,4.28149973,0.296703297
Yambio,Lomela,0.345979776,0.032967033
Yambio,Boende,0,0
Yambio,Kibaale,0,0
Yambio,Luebo,0,0
Yambio,Bonduni,0,0
Yambio,Luwero,0,0
Yambio,Mweka,0,0
Yambio,Kasai-Occidental,0.228061575,0.021978022
Isiro,Nzara,2.003040809,0.164835165
Isiro,North_Kivu_Province,0.112763779,0.010989011
Isiro,Muyembe,0,0
Isiro,Tumba,0,0
Isiro,Likati,0,0
Isiro,Mayinga,0,0
Isiro,Butalya,1.252930877,0.10989011
Isiro,Kelle,0.112763779,0.010989011
Isiro,Lomela,0,0
Isiro,Boende,33.82913367,0.769230769
Isiro,Kibaale,1.252930877,0.10989011
Isiro,Luebo,913.3866091,1
Isiro,Bonduni,0,0
Isiro,Luwero,0,0
Isiro,Mweka,0,0
Isiro,Kasai-Occidental,0.716381654,0.065934066
Nzara,North_Kivu_Province,105.2931786,0.912087912
Nzara,Muyembe,0.978191817,0.087912088
Nzara,Tumba,19.64272278,0.659340659
Nzara,Likati,0,0
Nzara,Mayinga,0,0
Nzara,Butalya,913.3866091,1
Nzara,Kelle,0.345979776,0.032967033
Nzara,Lomela,1.395451764,0.120879121
Nzara,Boende,0,0
Nzara,Kibaale,0,0
Nzara,Luebo,0,0
Nzara,Bonduni,0,0
Nzara,Luwero,6.342962563,0.384615385
Nzara,Mweka,0,0
Nzara,Kasai-Occidental,4.059496041,0.285714286
North_Kivu_Province,Muyembe,1.541580775,0.131868132
North_Kivu_Province,Tumba,0.112763779,0.010989011
North_Kivu_Province,Likati,0.228061575,0.021978022
North_Kivu_Province,Mayinga,0.345979776,0.032967033
North_Kivu_Province,Butalya,0,0
North_Kivu_Province,Kelle,0,0
North_Kivu_Province,Lomela,0,0
North_Kivu_Province,Boende,0,0
North_Kivu_Province,Kibaale,0,0
North_Kivu_Province,Luebo,0,0
North_Kivu_Province,Bonduni,0.978191817,0.087912088
North_Kivu_Province,Luwero,0.112763779,0.010989011
North_Kivu_Province,Mweka,0.345979776,0.032967033
North_Kivu_Province,Kasai-Occidental,0,0
Muyembe,Tumba,0,0
Muyembe,Likati,0,0
Muyembe,Mayinga,0,0
Muyembe,Butalya,0,0
Muyembe,Kelle,3.635369589,0.263736264
Muyembe,Lomela,0.112763779,0.010989011
Muyembe,Boende,0.228061575,0.021978022
Muyembe,Kibaale,0,0
Muyembe,Luebo,0,0
Muyembe,Bonduni,38.45838354,0.791208791
Muyembe,Luwero,0.845728342,0.076923077
Muyembe,Mweka,0,0
Muyembe,Kasai-Occidental,0,0
Tumba,Likati,1.252930877,0.10989011
Tumba,Mayinga,0,0
Tumba,Butalya,0.228061575,0.021978022
Tumba,Kelle,0,0
Tumba,Lomela,1.845225473,0.153846154
Tumba,Boende,1.252930877,0.10989011
Tumba,Kibaale,0,0
Tumba,Luebo,0,0
Tumba,Bonduni,0,0
Tumba,Luwero,38.45838354,0.791208791
Tumba,Mweka,0,0
Tumba,Kasai-Occidental,19.64272278,0.659340659
Likati,Mayinga,0.228061575,0.021978022
Likati,Butalya,0,0
Likati,Kelle,0,0
Likati,Lomela,0.112763779,0.010989011
Likati,Boende,913.3866091,1
Likati,Kibaale,2.502429066,0.197802198
Likati,Luebo,0.112763779,0.010989011
Likati,Bonduni,0.590043029,0.054945055
Likati,Luwero,0.228061575,0.021978022
Likati,Mweka,0,0
Likati,Kasai-Occidental,0,0
Mayinga,Butalya,1.252930877,0.10989011
Mayinga,Kelle,0,0
Mayinga,Lomela,0,0
Mayinga,Boende,0.716381654,0.065934066
Mayinga,Kibaale,0.46660874,0.043956044
Mayinga,Luebo,0,0
Mayinga,Bonduni,0.845728342,0.076923077
Mayinga,Luwero,143.7738181,0.934065934
Mayinga,Mweka,0.46660874,0.043956044
Mayinga,Kasai-Occidental,0,0
Butalya,Kelle,0,0
Butalya,Lomela,0.46660874,0.043956044
Butalya,Boende,1.113886109,0.098901099
Butalya,Kibaale,174.5583297,0.945054945
Butalya,Luebo,0,0
Butalya,Bonduni,0,0
Butalya,Luwero,0,0
Butalya,Mweka,0.46660874,0.043956044
Butalya,Kasai-Occidental,0,0
Kelle,Lomela,0,0
Kelle,Boende,0.112763779,0.010989011
Kelle,Kibaale,0,0
Kelle,Luebo,0.345979776,0.032967033
Kelle,Bonduni,33.82913367,0.769230769
Kelle,Luwero,0,0
Kelle,Mweka,0,0
Kelle,Kasai-Occidental,2.331467321,0.186813187
Lomela,Boende,0,0
Lomela,Kibaale,0,0
Lomela,Luebo,0,0
Lomela,Bonduni,2.331467321,0.186813187
Lomela,Luwero,0.978191817,0.087912088
Lomela,Mweka,0,0
Lomela,Kasai-Occidental,25.37185025,0.714285714
Boende,Kibaale,0,0
Boende,Luebo,2.858800029,0.21978022
Boende,Bonduni,0,0
Boende,Luwero,13.53165347,0.571428571
Boende,Mweka,0,0
Boende,Kasai-Occidental,0,0
Kibaale,Luebo,0.345979776,0.032967033
Kibaale,Bonduni,4.059496041,0.285714286
Kibaale,Luwero,0,0
Kibaale,Mweka,0,0
Kibaale,Kasai-Occidental,0.112763779,0.010989011
Luebo,Bonduni,0.345979776,0.032967033
Luebo,Luwero,1.113886109,0.098901099
Luebo,Mweka,0,0
Luebo,Kasai-Occidental,0.112763779,0.010989011
Bonduni,Luwero,0,0
Bonduni,Mweka,44.17686868,0.813186813
Bonduni,Kasai-Occidental,0,0
Luwero,Mweka,0.345979776,0.032967033
Luwero,Kasai-Occidental,0.590043029,0.054945055
Mweka,Kasai-Occidental,2.502429066,0.197802198
